id;tree_manual;nest_manual;area;final_nest;nest_locations
918;40;;;40;40_NA_NA
988;;;;;
B19;;;;;
C54;29;29 A 1;;29A1;29_A_1, 29_A_1, 29_A_NA, 29_A_1, 29_A_1, 29_A_1, 29_A_NA, 29_A_1
C55;;;;;
D39;37;37 A 3;;37A1+3;37_B_1, 37_A_3, 37_A_3, 37_A_1, 37_A_2, 37_A_2, 37_NA_NA, 37_A_NA, 37_A_NA, 37_A_NA, 37_A_NA, 37_B_NA
D43;;;;;
D76;;;;;
D86;13;13 A 3;;;13_A_NA, 13_A_NA, 13_A_3, 14_A_NA, 13_A_3, 13_A_3, 12_A_4, 13_A_NA, 12_A_NA, 13_A_NA, 13_A_NA, 13_A_3, 12_A_NA, 13_A_NA, 13_A_3, 13_A_3
D96;;;;;
E01;14;14 A 1;;;14_A_4, 14_A_1, 14_A_NA, 14_A_NA, 14_A_NA, 14_A_NA
E23;37;37 A 3;;;37_A_3, 37_A_2, 37_A_NA, 37_B_1, 37_A_NA, 37_A_NA, 37_B_NA
E36;4;4 A 2;;;4_A_3, 4_A_2, 4_A_2, 4_A_NA, 4_A_NA, 4_A_2, 4_A_2, 4_NA_NA, 1_A_NA, 5_A_NA, 4_A_5
E41;37;37 C 1;;;37_NA_NA, 37_C_1, 37_C_NA
E45;32;32 A 1;;;32_A_3, 32_A_1_2, 32_A_1_2, 32_A_NA, 32_A_1, 32_A_NA, 32_A_1
E46;;;;;
E59;24;24 C 1;;;24_C_1, 24_C_2, 24_C_1, 24_C_1, 24_C_1, 24_C_NA, 24_C_NA, 24_C_1, 24_C_1, 24_C_NA, 24_C_1, 24_C_NA
E67;33;;;;33_E_NA
E71;;;;;
E84;39;;;;39_A_NA
E87;38;38 A 1;;;38_A_1, 39_A_NA
E88;33;33 A 1;;;38_NA_NA, 33_B_1, 33_D_NA, 33_E_1, 39_A_NA, 32_D_NA
E89;38;38 A 1;;;38_A_1
E93;;;;;
F23;;;;;37_A_NA
G32;24;24 C 1;;;24_C_2, 24_C_NA, 24_C_1, 24_C_1, 24_C_1, 24_C_NA, 24_E_NA, 24_C_1, 24_C_1, 24_C_NA, 24_C_1, 24_C_NA
G33;;;;;
G73;25;25 E 1;;;25_E_1
G74;24;24 G 1;;;24_G_1, 24_NA_NA, 24_G_NA, 24_G_NA, 24_G_1, 24_G_1, 24_G_1, 24_G_1, 24_G_1
H37;;;;;
H38;32;32 B 1;;;32_B_NA
H40;31;31 A 1;;;31_A_1, 31_A_1, 31_A_1, 31_A_1, 31_A_1
H43;32;32 C 1;;;32_C_1
H48;;;;;
H51;24;24 C 1;;;24_D_1, 24_D_1, 24_D_NA, 24_B_NA, 24_NA_NA, 24_D_NA, 24_NA_NA, 24_D_NA, 24_D_NA, 24_C_1, 24_NA_NA, 24_C_1, 24_D_1, 24_C_NA, 24_C_1
H67;;;;;
H83;;;;;25_NA_NA
H86;36;;;;36_D_NA, 36_D_NA
H87;;;;;
I00;27;27 A 1;;;27_A_1, 27_A_1, 27_A_NA, 27_A_1, 27_A_1
I02;25;25 C 1;;;25_C_1
I04;29;29 B 1;;;29_B_1, 29_B_1, 29_B_1, 29_B_1, 29_NA_NA
I05;32;;;;32_C_NA
I06;32;;;;32_C_1
I09;;;;;
I12;;;;;
I24;12;;;;12_A_NA
I28;45;;;;45_F_NA
I29;11;;;;11_A_NA
I49;11;11 A 1;;;11_A_2, 11_A_1, 11_A_1, 11_A_1, 11_A_NA, 11_A_NA
I52;;;;;
I65;32;32 A 1;;;32_A_1_2, 32_A_NA, 32_A_1
I69;;;;;
I73;28;28 C 2;;;28_C_2, 28_C_3, 28_C_1, 28_C_1, 28_C_2, 28_C_NA, 28_C_2
I76;;;;;
I77;;;;;
I80;32;32 D 1;;;32_D_1, 33_NA_NA, 32_NA_NA, 32_A_3, 32_D_1, 32_D_1
I82;25;;;;25_C_1
I84;25;25 A 2;;;25_A_2
I85;32;;;;32_A_NA
I87;24;24 B 1;;;24_B_1, 24_B_NA, 24_B_NA, 24_B_1, 24_B_NA, 24_B_NA, 24_B_1, 24_B_NA, 24_B_NA, 24_B_NA
I89;2;2 A 3;;;2_A_3
I93;;;;;
I94;25;;;;25_A_NA, 25_A_NA, 25_A_1, 25_A_NA, 25_A_NA, 25_A_NA, 25_H_NA, 25_F_NA
I98;;;;;
J02;25;25 C 1;;;25_C_1, 25_C_NA, 25_C_1, 25_C_1, 25_C_NA, 25_C_1, 25_C_1
J03;25;25 A 2;;;25_A_NA, 25_A_2, 25_A_1, 25_A_NA, 25_A_2, 25_A_NA, 25_A_NA, 25_F_NA
J11;;;;;
J13;7;7 A 1;;;7_A_1, 7_A_1, 7_A_4, 7_A_1, 7_A_NA, 7_A_NA, 7_A_NA, 7_A_NA, 7_A_NA, 7_A_4, 7_A_4, 7_A_6, 7_A_1, 7_A_6
J14;21;21 A 1;;;21_A_1, 21_A_1
J21;37;37 B 1;;;37_B_1, 37_B_1
J24;27;27 A 1;;;27_A_1, 27_A_1
J32;;;;;
J33;7;;;;7_A_5
J36;;;;;
J37;;;;;
J41;;;;;
J43;18;18 A 4;;;18_A_4, 18_A_1, 19_A_NA, 18_A_4, 18_A_NA, 18_A_2, 18_A_NA, 18_A_NA
J46;7;7 A 1;;;7_A_NA, 7_A_1, 7_NA_NA, 7_A_1, 7_A_1, 7_A_1, 7_A_NA, 7_A_1, 7_A_1, 7_A_4, 7_A_2, 7_A_6
J52;31;;;;31_B_NA
J56;81;81 A 2;;;81_A_NA, 81_A_NA, 81_A_2, 81_A_1, 81_A_2
J70;;;;;
J71;9;9 A 2;;;9_A_2, 28_F_1, 28_F_NA
J72;25;;;;25_C_NA
J78;37;37 A 2;;;37_A_2, 37_A_NA, 37_A_NA, 37_a_NA, 37_A_NA
J80;;;;;
J84;2;;;;2_A_NA
J86;;;;;
J89;2;2 A 3;;;2_A_8, 2_A_3, 2_A_3, 2_A_NA, 2_A_3, 2_A_3, 2_A_NA
K17;;;;;
K26;;;;;1_A_1
K28;;;;;
K33;25;25 C 1;;;25_C_1, 25_C_1, 25_C_NA, 25_C_1, 25_C_1, 25_C_NA, 25_C_1, 25_C_1, 25_C_1, 25_C_1
K40;;;;;
K41;10;10 A 1;;;10_A_5, 10_A_1, 10_A_3, 10_A_3, 10_A_3, 10_A_1, 10_A_NA, 10_A_3, 10_A_3, 10_A_NA, 10_A_NA
K43;30;;;;30_A_NA
K46;;;;;
K47;28;28 B 1;;;28_B_1
K48;30;30 A 1;;;30_A_NA, 45_NA_NA, 30_A_1, 30_A_1, 30_A_1, 30_A_NA
K49;71;71 A 1;;;71_A_1, 71_A_NA, 71_A_1, 71_A_1
K52;33;33 A 1;;;33_A_1, 33_A_1, 33_A_1, 33_A_1, 33_A_NA, 33_A_NA, 33_A_NA
K56;;;;;
K57;;;;;
K62;1;;;;1_A_NA
K64;78;78 A 1;;;79_A_NA, 78_A_1
K67;;;;;
K70;15;15 A 1;;;15_A_1, 15_A_1, 15_A_1, 15_NA_NA, 15_A_1, 15_A_1, 15_A_1, 15_A_1, 14_A_NA
K72;;;;;
k75;;;;;
K75;;;;;
K76;25;25 B 2;;;25_B_2, 25_NA_NA, 25_B_2, 25_C_2, 25_B_1, 25_B_NA, 25_B_2, 25_C_NA, 25_NA_NA, 25_B_1, 25_B_1, 25_G_NA, 25_B_2, 25_B_2, 25_F_NA, 25_B_2, 25_B_2
K80;14;14 A 1;;;14_NA_NA, 14_A_1, 14_A_1, 14_A_NA, 16_A_1, 16_A_NA, 14_A_NA, 16_A_1, 14_A_NA
K87;36;36 F 1;;;36_F_1, 36_C_NA, 36_F_1
K89;;;;;
K96;55;55 A 1;;;55_A_1
L08;25;;;;25_F_NA
L09;25;25 G 1;;;25_G_1
L14;24;24 A 1;;;24_A_1, 24_A_1, 24_A_NA, 24_A_NA, 24_A_1
L15;25;;;;25_G_NA
L22;24;24 F 1;;;24_F_1, 24_F_1, 24_F_NA, 24_F_1, 24_F_1, 24_F_NA, 24_F_1, 24_E_NA, 24_F_1, 24_F_1, 24_F_1, 24_B_NA, 24_F_NA, 24_F_1, 24_F_1
L23;46;46 D 1;;;46_D_1, 46_D_2, 46_D_1
L35;14;14 A 2;;;14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_NA
L52;;;;;
L53;;;;;
L61;45;;;;45_F_NA
L68;;;;;
L80;29;29 A 1;;;29_A_1, 29_A_1, 29_A_NA, 29_A_1, 29_A_1, 29_A_NA, 29_A_1
L88;;;;;
M09;;;;;
M12;;;;;
M23;13;;;;13_A_NA
M38;14;14 A 2;;;14_A_2, 14_A_2, 14_A_NA, 14_A_2, 14_A_2, 14_A_2, 14_A_2, 14_A_NA, 14_A_NA
M68;2;;;;2_A_NA, 2_A_1
N09;2;2 A 5;;;2_A_7, 2_A_5, 1_A_NA, 2_A_NA, 2_A_8
N22;13;;;;13_A_3
N23;13;13 A 3;;;13_A_3, 13_A_3, 41_A_NA, 13_A_NA, 12_A_NA, 13_A_NA, 13_A_3, 13_A_NA, 12_A_NA, 13_A_3
N74;24;24 A 1;;;24_A_1, 24_C_NA, 24_A_1, 24_B_NA
N77;24;;;;24_C_NA, 24_A_1
P12;81;81 A 2;;;81_A_NA, 81_A_2, 81_A_NA, 81_A_2, 81_A_NA
P50;;;;;
P51;32;;;;32_D_NA, 32_D_NA, 32_D_NA, 32_D_NA, 32_D_NA, 32_D_NA
P53;;;;;
P56;;;;;
P58;29;;;;29_C_1, 29_C_NA
P64;34;;;;34_A_NA
P65;;;;;
P67;29;;;;29_G_1
P68;;;;;24_E_1, 78_A_1
P69;24;24 E 1;;;24_E_NA, 24_E_1, 24_E_1, 24_E_NA, 24_E_1, 24_E_1, 24_E_1, 24_E_NA, 24_E_1, 24_E_1, 24_E_1, 24_E_1, 24_E_NA, 24_E_1, 24_E_1, 24_E_NA, 24_E_1, 24_E_NA, 24_E_NA
P75;33;33 A 1;;;33_B_NA, 33_A_1, 33_A_1, 33_A_1
P76;28;28 E 2;;;28_H_2, 28_E_2, 28_E_NA, 28_E_NA, 28_E_1, 28_E_NA
P96;24;24 E 1;;;24_E_1
R18;9;9 A 2;;;9_A_2, 9_A_2, 9_A_NA, 10_A_NA, 9_A_1, 9_A_2, 9_A_2, 9_A_NA, 9_A_2, 9_A_1, 9_A_2, 9_A_NA, 9_A_1, 9_A_3, 9_A_NA, 9_A_4, 9_A_4
R20;13;13 A 1;;;13_A_1, 13_NA_NA, 13_A_1, 13_A_NA, 13_A_NA, 13_A_2, 13_A_1, 13_A_NA, 13_A_1, 13_A_NA, 41_NA_NA, 13_A_1, 41_A_NA, 13_A_1, 13_A_2, 13_A_2
R23;13;;;;13_NA_NA
R63;;;;;
R83;41;41 A 2;;;41_A_2, 30_A_1, 41_A_2, 41_A_NA, 41_A_NA, 41_A_NA, 41_A_NA, 41_A_NA, 41_A_NA, 41_A_NA
R86;24;24 A 1;;;24_A_1, 25_NA_NA
R87;20;20 A 1;;;20_A_1, 20_A_1, 20_A_1, 20_A_1, 20_A_1, 20_A_1, 20_A_1
R97;;;;;
S00;40;;;;40_NA_NA
S01;39;39 A 1;;;38_A_NA, 39_A_1
S02;;;;;
S03;;;;;
S04;;;;;
S05;13;;;;13_A_NA
S06;24;;;;24_C_NA
S07;13;13 A 1;;;13_A_1, 13_A_1, 13_A_1, 13_A_2, 13_A_NA
S08;;;;;
S09;25;;;;25_A_2, 25_A_NA, 13_A_NA, 25_A_NA
S10;25;;;;40_NA_NA, 25_A_NA, 38_A_NA, 25_A_NA
S11;41;;;;41_NA_NA
S12;;;;;
S14;;;;;
S15;55;55 A 3;;;55_A_1, 55_A_NA, 55_A_NA, 55_A_3
S16;;;;;
S17;24;24 E 1;;;24_E_1, 24_E_NA, 24_E_1, 24_E_NA, 24_E_NA, 24_E_1, 24_E_1, 24_E_NA, 24_G_NA, 24_E_1, 24_E_NA, 24_E_1
S18;39;;;;39_A_NA
S19;39;39 A 1;;;39_A_1, 38_A_NA, 31_A_1, 38_A_NA
S21;75;;;;75_A_1
S22;28;28 E 2;;;28_E_2
S23;;;;;
S24;30;;;;30_B_NA, 38_NA_NA
S25;27;27 A 1;;;27_A_1, 27_A_NA, 27_A_1, 27_A_NA
S26;24;24 A 1;;;24_A_1
S27;;;;;
S28;36;36 D 1;;;36_D_NA, 36_D_1, 36_D_NA, 25_F_NA, 36_D_1
S29;69;;;;69_A_NA
S30;38;;;;38_NA_NA
S31;38;;;;38_A_NA
S32;28;;;;28_E_NA, 28_E_NA, 28_E_1, 28_E_NA
S33;1;;;;1_A_NA
S34;41;41 A 2;;;41_A_2, 41_A_2, 41_A_NA, 41_A_2, 41_A_2, 41_A_2, 41_A_NA, 41_A_2, 43_A_NA, 41_A_1, 41_A_NA, 41_A_NA, 41_A_1, 41_A_NA
S35;55;;;;55_A_NA, 55_A_NA, 55_A_NA
S36;;;;;
S37;24;24 B 1;;;24_B_1
S38;37;;;;37_NA_NA
S40;24;24 B 1;;;24_B_1
S41;24;;;;24_F_NA
S42;;;;;
S43;75;;;;75_A_1
S44;;;;;
S45;24;24 D 1;;;2_A_NA, 2_A_NA, 24_D_1, 24_G_NA
S46;24;24 D 1;;;24_D_1
S47;36;;;;36_D_NA, 36_D_1, 36_D_NA
S48;30;30 A 1;;;30_A_1
S49;30;30 A 1;;;30_A_1, 30_A_1, 30_A_1, 30_A_NA, 30_A_1, 30_A_NA, 30_A_1
S50;;;;;
S51;;;;;
S52;;;;;
S53;1;1 A 2;;;1_A_2
S54;;;;;
S55;;;;;
S56;11;11 A 1;;;11_A_1
S57;24;24 E 1;;;24_E_NA, 24_E_NA, 24_E_NA, 24_E_NA, 24_E_1, 24_E_1, 24_E_1, 24_E_1, 24_E_1, 24_E_1, 24_E_NA, 24_E_NA, 24_E_NA, 24_E_NA, 24_E_NA, 24_E_NA
S58;;;;;
T76;;;;;
T03;32;32 A 3;;;32_NA_NA, 32_A_3
T07;20;;;;26_NA_NA, 20_A_NA
T08;;;;;
T11;;;;;
T21;36;36 D 1;;;36_D_NA, 36_D_NA, 36_D_NA, 36_D_1
T23;;;;;
T24;12;12 A 3;;;12_A_NA, 12_A_3, 12_A_1, 12_A_1, 12_A_NA, 12_A_NA, 12_A_1
T27;;;;;
T30;2;2 A 7;;;1_A_1, 2_A_7
T36;5;;;;5_A_NA
T38;;;;;
T40;21;;;;21_A_1
T41;;;;;
T42;;;;;
T44;35;35 B 1;;;35_B_NA, 35_B_NA, 35_B_NA, 35_B_NA, 35_B_NA, 37_NA_NA, 35_B_1, 37_A_NA, 35_B_1
T45;77;;;;77_A_NA
T48;;;;;
T49;21;;;;21_A_NA, 21_A_NA
T50;;;;;
T51;32;;;;32_D_1
T54;;;;;
T55;;;;;
T59;;;;;
T62;;;;;
T63;5;5 A 6;;;5_A_NA, 5_A_6, 5_NA_NA, 5_A_6, 4_A_4, 5_A_6, 5_A_6, 5_A_6, 5_A_NA, 5_A_7, 5_A_NA, 5_A_NA, 5_A_NA
T66;;;;;
T69;;;;;
T71;9;9 A 2;;;9_A_2, 9_A_2, 9_A_2, 9_A_2, 10_A_3, 9_A_2, 9_A_2, 9_A_2, 9_A_2, 9_A_NA, 9_A_2, 9_A_2, 9_A_NA, 9_A_3, 9_A_NA, 9_A_4, 9_A_NA
T72;84;84 A 1;;;84_A_NA, 84_A_1, 84_A_1, 84_A_1
T73;25;25 E 1;;;25_E_1
T74;84;84 A 1;;;84_A_1, 84_A_1, 84_A_1
T77;;;;;
T78;1;;;;1_A_NA
T80;32;32 D 1;;;32_D_NA, 32_D_1
T81;19;19 A 1;;;19_A_1, 19_A_1, 19_A_NA, 19_A_NA, 19_A_1, 19_A_NA, 19_A_1, 19_A_1, 18_A_1, 17_NA_NA, 19_A_1, 18_A_1, 19_A_1
T84;77;;;;77_B_NA
T85;;;;;
T86;;;;;
T87;;;;;
T88;66;66 A 1;;;66_A_1
T90;5;5 A 6;;;5_A_NA, 5_A_6, 5_NA_NA, 5_A_6, 4_A_4, 5_A_6, 5_A_6, 5_A_6, 5_A_NA, 5_A_NA, 5_A_6, 5_A_NA
T92;;;;;
T93;1;1 A 2;;;1_A_2
T94;25;25 B 2;;;25_B_NA, 25_B_1, 25_B_NA, 25_B_2, 25_B_NA, 13_A_NA, 25_B_NA
T96;13;13 A 2;;;13_A_2, 13_A_1, 13_A_2, 24_E_NA
T97;14;;;;14_A_NA, 15_NA_NA, 14_NA_NA
T99;41;;;;41_NA_NA
U20;15;15 A 1;;;15_A_1, 15_A_1, 15_NA_NA, 15_NA_NA, 14_NA_NA, 15_A_1, 15_A_1, 15_A_NA
U24;;;;;
U28;;;;;
U29;;;;;
U40;;;;;