"Tidsstempel","What?","Group size","Where?","How?","Who? (2 m or whole tree)","From","To","Type","Started by","Won by","Copy paste waypoint name"
"2020/11/02 9:16:13 AM CET","Group","","Ground","Foraging","T41, T30, T49, un, un un, un","","","","","","1"
"2020/11/02 9:17:50 AM CET","Interaction","","","","","T49","T39","Preening","From","From","1"
"2020/11/02 9:19:02 AM CET","Interaction","","","","","T30","Un","Displacement","From","From","1"
"2020/11/02 9:20:39 AM CET","Group","","Deciduous tree","Perched","T94, un","","","","","","2"
"2020/11/02 9:27:33 AM CET","Group","","Deciduous tree","Perched","Un, un ","","","","","","3"
"2020/11/02 9:44:36 AM CET","Group","","Deciduous tree","Perched","Un, un ","","","","","","4"
"2020/11/03 12:11:21 PM CET","Group","2","Deciduous tree","Foraging","Un, un","","","","","","5"
"2020/11/03 12:31:45 PM CET","Group","2","Deciduous tree","Foraging","J52,un","","","","","","7"
"2020/11/03 12:55:07 PM CET","Group","6","Deciduous tree","Perched","Un,k87,un, un, un, un","","","","","","8"
"2020/11/03 12:56:02 PM CET","Interaction","","","","","K87","Un","Preening","From","To","8"
"2020/11/03 12:57:48 PM CET","Interaction","","","","","un","K87","Touching","From","From","8"
"2020/11/03 1:12:10 PM CET","Group","7","Deciduous tree","Perched","K87, -06, un, un, un, un,un","","","","","","9"
"2020/11/03 1:12:54 PM CET","Interaction","","","","","un","-06","Preening","From","To","9"
"2020/11/03 8:32:33 PM CET","Interaction","","","","","un","-06","Preening","From","To","9"
"2020/11/04 2:24:09 PM CET","Group","2","Ground","Drinking","un, un","","","","","","10"
"2020/11/04 2:25:40 PM CET","Interaction","","","","","un","un","10 cm group","From","NA","10"
"2020/11/04 2:27:41 PM CET","Interaction","","","","","X","un","Displacement","From","From","9"
"2020/11/04 2:31:47 PM CET","Group","10","Grass","Foraging","T86, H40, S04, S09,un, un, un, un, un, un","","","","","","11"
"2020/11/04 2:33:18 PM CET","Interaction","","","","","T86, un, un, un","H40, S04, S09, un, un, un","10 cm group","NA","NA","11"
"2020/11/04 2:35:26 PM CET","Group","4","Grass","Foraging","S47, S28, un, un ","","","","","","12"
"2020/11/04 2:36:00 PM CET","Interaction","","","","","S47, S28","un, un","10 cm group","From","NA","12"
"2020/11/04 2:44:41 PM CET","Interaction","","","","","M46","un","Fight","From","From","12"
"2020/11/04 2:48:52 PM CET","Group","13","Grass","Foraging","K52, J21, P75, I06, un, un, un, un, un, un, un, un, ","","","","","","13"
"2020/11/04 2:50:35 PM CET","Interaction","","","","","K52, un, un, J21, un , un","P75, I06, un, un, un","10 cm group","NA","NA","13"
"2020/11/04 3:14:41 PM CET","Group","2","Deciduous tree","Perched","P64, un","","","","","","14"
"2020/11/04 3:15:07 PM CET","Interaction","","","","","un","P64","Preening","From","NA","14"
"2020/11/04 3:22:41 PM CET","Group","5","Grass","Foraging","I28, L61, un, un, un","","","","","","15"
"2020/11/04 3:23:30 PM CET","Interaction","","","","","I28, un, un","L61, un","10 cm group","From","NA","15"
"2020/11/05 1:22:32 PM CET","Group","","Grass","Foraging","T62, un","","","","","","16"
"2020/11/05 1:24:27 PM CET","Interaction","","","","","T62","un","10 cm group","From","NA","16"
"2020/11/05 1:27:12 PM CET","Interaction","","","","","","","Pecking","From","NA","16"
"2020/11/05 1:27:44 PM CET","Group","2","Deciduous tree","Perched","un, un","","","","","","16"
"2020/11/05 1:47:11 PM CET","Group","6","Palm tree","Perched","S25, un, un, un, un, un","","","","","","17"
"2020/11/05 1:48:13 PM CET","Interaction","","","","","un, un","S15, un, un, un","10 cm group","From","NA","17"
"2020/11/05 2:15:14 PM CET","Interaction","","","","","P75","un","Displacement","From","From","18"
"2020/11/05 2:22:23 PM CET","Group","7","Grass","Foraging","T85,un, un, un, un , un, un","","","","","","19"
"2020/11/05 2:23:19 PM CET","Interaction","","","","","T85, un, un, un, un","un, un","10 cm group","From","NA","19"
"2020/11/06 11:56:25 AM CET","Group","3","Palm tree","Perched","X71, R81,un","","","","","","20"
"2020/11/06 11:57:20 AM CET","Interaction","","","","","R81","X71, un","10 cm group","From","NA","20"
"2020/11/06 12:04:58 PM CET","Group","2","Palm tree","Perched","J11, J46","","","","","","21"
"2020/11/06 12:05:39 PM CET","Interaction","","","","","J11","J46","10 cm group","From","NA","21"
"2020/11/06 12:18:13 PM CET","Group","2","Palm tree","Perched","uk, un","","","","","","22"
"2020/11/06 12:20:13 PM CET","Interaction","","","","","uk","un","10 cm group","From","NA","22"
"2020/11/06 12:27:36 PM CET","Group","7","Palm tree","Perched","M68, un, uk, uk, uk, uk, uk","","","","","","23"
"2020/11/06 12:28:28 PM CET","Interaction","","","","","uk,uk,uk,uk,uk","M68, un","10 cm group","From","NA","23"
"2020/11/06 12:55:15 PM CET","Group","7","Ground","Foraging","K64, S36, S54,un, uk","","","","","","3"
"2020/11/06 12:56:59 PM CET","Interaction","","","","","K64, S36","un, S54, un, uk, uk","10 cm group","NA","NA","3"
"2020/11/09 11:43:26 AM CET","Interaction","","","","","T85, un, un, un, un","un, un","10 cm group","From","NA","19"
"2020/11/09 12:04:29 PM CET","Group","5","Pine tree","Perched","S57, H51, L22, un, un","","","","","","nest 1"
"2020/11/09 12:08:16 PM CET","Interaction","","","","","S57, H15, L22","un, un","10 cm group","From","NA","nest 1"
"2020/11/09 12:09:22 PM CET","Group","2","Pine tree","Perched","K76, H83","","","","","","nest 2"
"2020/11/09 12:10:00 PM CET","Interaction","","","","","K76","H83","10 cm group","NA","NA","nest 2"
"2020/11/09 12:32:14 PM CET","Group","5","Deciduous tree","Perched","S15, un, un, un, un","","","","","","24"
"2020/11/09 12:32:50 PM CET","Interaction","","","","","S15","un, un, un, un","10 cm group","NA","NA","24"
"2020/11/09 12:40:15 PM CET","Group","2","Grass","Foraging","S37, S25","","","","","",""
"2020/11/09 12:40:55 PM CET","Group","2","Grass","Foraging","S37, S25","","","","","","25"
"2020/11/09 12:41:59 PM CET","Interaction","","","","","S25","S37","Pecking","From","From","25"
"2020/11/09 12:54:47 PM CET","Group","8","Grass","Foraging","E01, S37, I94,S51, T27, un, un, un","","","","","","26"
"2020/11/09 12:56:11 PM CET","Interaction","","","","","E01, S37, I94, S51","T27, un, un, un","10 cm group","From","NA","26"
"2020/11/09 12:57:10 PM CET","Interaction","","","","","T27","un","Displacement","To","From","26"
"2020/11/10 11:22:35 AM CET","Interaction","","","","","T27","un","Displacement","To","From","26"
"2020/11/10 12:04:27 PM CET","Group","2","Deciduous tree","Perched","un, un","","","","","","27"
"2020/11/10 12:05:24 PM CET","Interaction","","","","","un","un","Preening","NA","NA","27"
"2020/11/10 12:23:40 PM CET","Group","5","Pine tree","Perched","P75, X, X, un, un","","","","","","nest 33"
"2020/11/10 12:24:54 PM CET","Interaction","","","","","X,X","P75, un, un","10 cm group","From","NA","nest 33"
"2020/11/11 8:54:42 AM CET","Interaction","","","","","X,X","P75, un, un","10 cm group","From","NA","nest 33"
"2020/11/11 9:03:14 AM CET","Group","9","Grass","Foraging","S30, S15, un, un, un, un, un, un","","","","","","28"
"2020/11/11 9:03:52 AM CET","Interaction","","","","","S30","un","Displacement","From","From","28"
"2020/11/11 9:04:35 AM CET","Interaction","","","","","un","S15","Displacement","From","To","38"
"2020/11/11 9:11:05 AM CET","Interaction","","","","","un,un","S30, S15, un, un, un, un, un","10 cm group","From","NA","28"
"2020/11/11 9:18:42 AM CET","Interaction","","","","","T86","un","Displacement","From","From","29"
"2020/11/11 9:31:08 AM CET","Group","2","Deciduous tree","Perched","S24, S30","","","","","","30"
"2020/11/11 9:31:45 AM CET","Interaction","","","","","S24","S30","Preening","From","NA","30"
"2020/11/11 10:03:13 AM CET","Group","2","Grass","Foraging","I06, un ","","","","","","31"
"2020/11/11 10:03:59 AM CET","Interaction","","","","","I06","un","10 cm group","From","NA","31"
"2020/11/11 4:55:49 PM CET","Interaction","","","","","I06","un","10 cm group","From","NA","31"
"2020/11/12 8:56:52 AM CET","Interaction","","","","","I06","un","10 cm group","From","NA","31"
"2020/11/12 9:15:56 AM CET","Interaction","","","","","un","X","Displacement","From","From","nest 30"
"2020/11/12 9:19:51 AM CET","Group","3","Pine tree","Perched","Kx7, L68, R87","","","","","","nest 30"
"2020/11/12 9:20:26 AM CET","Interaction","","","","","L68","R87","Touching","NA","NA","nest 30"
"2020/11/12 9:21:37 AM CET","Interaction","","","","","Kx7","L68, R87","10 cm group","From","NA","nest 30"
"2020/11/12 9:34:10 AM CET","Interaction","","","","","Kx7","L68, R87","10 cm group","From","NA","nest 30"
"2020/11/12 9:34:54 AM CET","Interaction","","","","","un","K47","10 cm group","From","NA","32"
"2020/11/12 9:36:19 AM CET","Group","4","Deciduous tree","Drinking","P76, S32, un, un","","","","","","33"
"2020/11/12 9:37:43 AM CET","Interaction","","","","","un, un","P76, S32","10 cm group","From","NA","33"
"2020/11/12 9:38:28 AM CET","Group","4","Deciduous tree","Perched","J71, P53, un, un","","","","","","33"
"2020/11/12 9:40:21 AM CET","Interaction","","","","","J71","P53, un, un","10 cm group","From","NA","33"
"2020/11/12 10:06:44 AM CET","Interaction","","","","","J71","P53, un, un","10 cm group","From","NA","33"
"2020/11/12 10:07:32 AM CET","Group","2","Nest","Perched","E23, D39","","","","","","nest 37"
"2020/11/12 10:08:06 AM CET","Interaction","","","","","E23","D39","Touching","NA","NA","nest 37"
"2020/11/12 10:08:44 AM CET","Group","2","Pine tree","Perched","E41, un","","","","","","nest 37"
"2020/11/12 10:09:40 AM CET","Interaction","","","","","E41","un","Touching","NA","NA","nest 37"
"2020/11/12 10:13:59 AM CET","Group","2","Nest","Perched","J78, un","","","","","","nest 37"
"2020/11/12 10:14:39 AM CET","Interaction","","","","","J78","un","Touching","NA","NA","nest 37"
"2020/11/12 11:37:44 AM CET","Interaction","","","","","J78","un","Touching","NA","NA","nest 37"
"2020/11/13 8:02:29 AM CET","Interaction","","","","","J78","un","Touching","NA","NA","nest 37"
"2020/11/13 8:28:48 AM CET","Group","8","Deciduous tree","Foraging","S01, S19, S03, L23, X, X, un, un","","","","","","34"
"2020/11/13 8:30:02 AM CET","Interaction","","","","","S01, X, X","S19, S03, L23, un, un","10 cm group","From","NA","34"
"2020/11/13 9:03:07 AM CET","Group","4","Deciduous tree","Foraging","S56, S54, S16, X","","","","","","35"
"2020/11/13 9:03:49 AM CET","Interaction","","","","","S16","S56, S54,X","10 cm group","From","NA","35"
"2020/11/13 9:12:32 AM CET","Group","14","Grass","Foraging","U20, T97, P68, M38, L35, R20, X, X, un, un, un, un,un,un","","","","","","36"
"2020/11/13 9:14:36 AM CET","Interaction","","","","","U20, un, un, T97, P68, un, un, un","M38, L35, R20, un, un, un","10 cm group","NA","NA","36"
"2020/11/13 9:15:17 AM CET","Interaction","","","","","L35","R20","Pecking","From","From","36"
"2020/11/13 9:18:22 AM CET","Interaction","","","","","L35","R20","Pecking","From","From","36"
"2020/11/13 9:19:01 AM CET","Group","2","Palm tree","Perched","K41, un","","","","","","nest 11"
"2020/11/13 9:19:28 AM CET","Interaction","","","","","K41","un","10 cm group","NA","NA","nest 11"
"2020/11/13 4:51:03 PM CET","Interaction","","","","","K41","un","10 cm group","NA","NA","nest 11"
"2020/11/16 8:27:16 AM CET","Interaction","","","","","K41","un","10 cm group","NA","NA","nest 11"
"2020/11/16 8:33:53 AM CET","Group","3","Grass","Foraging","T81, un, un","","","","","","37"
"2020/11/16 8:34:34 AM CET","Interaction","","","","","un","T81, un","10 cm group","From","NA","37"
"2020/11/16 8:45:48 AM CET","Interaction","","","","","un","T81, un","10 cm group","From","NA","37"
"2020/11/16 8:48:12 AM CET","Group","14","Grass","Foraging","T99, S11, S06, S17, N77, N74, P69, un, un, un, un, un, un, un","","","","","","38"
"2020/11/16 8:48:50 AM CET","Interaction","","","","","S11","un","Pecking","From","From","38"
"2020/11/16 8:49:27 AM CET","Interaction","","","","","S17","un, un, un","Fight","From","From","38"
"2020/11/16 8:51:34 AM CET","Interaction","","","","","T99, S11, S06, N77, un, un, un, un, un","S17, N74, P69, un, un","10 cm group","To","NA","38"
"2020/11/16 9:02:24 AM CET","Group","2","Pine tree","Perched","L15, L09","","","","","","39"
"2020/11/16 9:02:48 AM CET","Interaction","","","","","L15","L09","10 cm group","NA","NA","39"
"2020/11/16 9:23:07 AM CET","Interaction","","","","","L15","L09","10 cm group","NA","NA","39"
"2020/11/16 9:24:03 AM CET","Group","7","Deciduous tree","Foraging","S15, X, un, un, un, un, un","","","","","","40"
"2020/11/16 9:28:48 AM CET","Group","7","Deciduous tree","Foraging","S15, X, un, un, un, un, un","","","","","","40"
"2020/11/16 9:29:30 AM CET","Group","3","Deciduous tree","Perched","T48, J24, I00","","","","","","41"
"2020/11/16 9:51:48 AM CET","Group","2","Deciduous tree","Perched","T96, X","","","","","","42"
"2020/11/16 10:22:00 AM CET","Group","2","Deciduous tree","Perched","T96, X","","","","","","42"
"2020/11/17 8:10:40 AM CET","Group","2","Deciduous tree","Perched","T96, X","","","","","","42"
"2020/11/17 8:24:23 AM CET","Group","1","Deciduous tree","Foraging","T44","","","","","","43"
"2020/11/17 8:33:26 AM CET","Group","1","Deciduous tree","Foraging","T44","","","","","","43"
"2020/11/17 8:34:01 AM CET","Group","3","Grass","Foraging","H37, un, un","","","","","","44"
"2020/11/17 8:34:31 AM CET","Interaction","","","","","H37","un, un","10 cm group","From","NA","44"
"2020/11/17 8:37:24 AM CET","Group","2","Grass","Foraging","E41, un","","","","","","45"
"2020/11/17 8:37:48 AM CET","Interaction","","","","","un","E41","10 cm group","From","NA","45"
"2020/11/17 8:38:36 AM CET","Group","1","Deciduous tree","Perched","I76","","","","","","45"
"2020/11/17 9:11:47 AM CET","Group","1","Deciduous tree","Perched","I76","","","","","","45"
"2020/11/17 9:12:32 AM CET","Group","3","Palm tree","Perched","T24, un, un","","","","","","nest 12"
"2020/11/17 9:21:53 AM CET","Group","3","Palm tree","Perched","T24, un, un","","","","","","nest 12"
"2020/11/17 9:26:51 AM CET","Group","15","Grass","Foraging","S56, R18, T42, U20, I49, M38, K41, T24, T71, un, un, un, un, un, un","","","","","","46"
"2020/11/17 9:27:28 AM CET","Interaction","","","","","I49","U20","Displacement","From","From","46"
"2020/11/17 9:27:59 AM CET","Interaction","","","","","K41","T24","Displacement","From","From","46"
"2020/11/17 9:32:43 AM CET","Interaction","","","","","K41","T24","Displacement","From","From","46"
"2020/11/17 9:33:54 AM CET","Group","9","Grass","Foraging","I49, T80, D86, M38, K70, T24, un, un, un","","","","","","36"
"2020/11/17 9:35:20 AM CET","Interaction","","","","","I49, T80, D86, un, un","M38, K70, T24, un","10 cm group","NA","NA","36"
"2020/11/17 9:42:45 AM CET","Interaction","","","","","I49, T80, D86, un, un","M38, K70, T24, un","10 cm group","NA","NA","36"
"2020/11/17 9:43:26 AM CET","Group","3","Nest","Perched","T63, T90, un","","","","","","nest 5"
"2020/11/17 9:46:49 AM CET","Group","3","Nest","Perched","T63, T90, un","","","","","","nest 5"
"2020/11/17 9:47:20 AM CET","Group","2","Nest","Perched","un, un","","","","","","nest 2"
"2020/11/17 9:48:43 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 22"
"2020/11/17 11:31:37 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 22"
"2020/11/18 8:21:34 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 22"
"2020/11/18 8:49:21 AM CET","Group","2","Deciduous tree","Perched","E71, X","","","","","","27"
"2020/11/18 8:51:16 AM CET","Group","4","Deciduous tree","Perched","E71, T27, I77, un","","","","","","27"
"2020/11/18 8:51:49 AM CET","Interaction","","","","","E71, T27","I77","Fight","From","From","27"
"2020/11/18 9:22:46 AM CET","Group","5","Ground","Foraging","M12, T86, E41, un, un","","","","","","47"
"2020/11/18 9:23:47 AM CET","Interaction","","","","","M12, T86, un","E41, un","10 cm group","NA","NA","47"
"2020/11/18 9:38:32 AM CET","Group","30","Ground","Foraging","H43, I06, P75, K52, H67, S48, J21, J78, E87, T27, I12, M12, E41, T86, I80, H40, un, D39, un, un, un, un, un, un, un, un, un, un, un, un","","","","","","47"
"2020/11/18 9:41:09 AM CET","Interaction","","","","","H43, I06, P75, un, un, un","K52, H67, S48, un, un, un","10 cm group","NA","NA","47"
"2020/11/18 9:42:20 AM CET","Interaction","","","","","J21, un, un","J78, D39, un","10 cm group","NA","NA","47"
"2020/11/18 9:43:22 AM CET","Interaction","","","","","E87, T27","I12, un, un","10 cm group","NA","NA","47"
"2020/11/18 9:44:11 AM CET","Interaction","","","","","I80, H40","un, un","10 cm group","NA","NA","47"
"2020/11/18 9:44:48 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/18 10:47:47 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/19 8:05:12 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/19 8:49:17 AM CET","Group","2","Pine tree","Foraging","J80, un","","","","","","34"
"2020/11/19 8:55:41 AM CET","Group","3","Pine tree","Perched","K52, un, un","","","","","","34"
"2020/11/19 8:56:25 AM CET","Interaction","","","","","un","K52","Fight","From","From","34"
"2020/11/19 9:02:39 AM CET","Interaction","","","","","PX9","J71","Displacement","From","From","34"
"2020/11/19 9:04:17 AM CET","Group","2","Pine tree","Foraging","C54, L80","","","","","","34"
"2020/11/19 9:11:25 AM CET","Group","2","Nest","Perched","un, un","","","","","","nest 34"
"2020/11/19 9:12:39 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","nest 34"
"2020/11/19 9:22:47 AM CET","Group","4","Deciduous tree","Perched","E84,I06, X, un","","","","","","48"
"2020/11/19 9:30:45 AM CET","Group","4","Grass","Foraging","T74, un, un, un","","","","","","49"
"2020/11/19 9:35:03 AM CET","Group","3","Pine tree","Perched","S48, un, un","","","","","","50"
"2020/11/19 9:40:15 AM CET","Group","3","Pine tree","Perched","S48, un, un","","","","","","50"
"2020/11/19 9:40:51 AM CET","Group","3","Deciduous tree","Perched","G73, E93, un","","","","","","51"
"2020/11/19 9:41:46 AM CET","Interaction","","","","","G73","E93","10 cm group","NA","NA","51"
"2020/11/19 9:55:19 AM CET","Interaction","","","","","G73","E93","10 cm group","NA","NA","51"
"2020/11/19 9:57:22 AM CET","Group","15","Ground","Foraging","S30, S02, I80, T03, H87, T27, E87,  X, X , X, un, un, un, un, un","","","","","","47"
"2020/11/19 9:58:13 AM CET","Interaction","","","","","S03","S30","10 cm group","From","NA","47"
"2020/11/19 9:58:51 AM CET","Interaction","","","","","T03","I80","10 cm group","From","NA","47"
"2020/11/19 9:59:32 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/19 10:12:04 PM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 8:20:54 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 9:17:17 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 9:19:54 AM CET","Group","2","Palm tree","Perched","U20, un","","","","","","nest 15"
"2020/11/20 9:27:44 AM CET","Group","2","Palm tree","Perched","U20, un","","","","","","nest 15"
"2020/11/20 9:28:18 AM CET","Group","2","Palm tree","Perched","KX, un","","","","","","nest 14"
"2020/11/20 9:38:14 AM CET","Group","2","Palm tree","Perched","KX, un","","","","","","nest 14"
"2020/11/20 9:38:43 AM CET","Group","1","Palm tree","Perched","J43","","","","","","nest 18"
"2020/11/20 9:43:19 AM CET","Group","1","Palm tree","Perched","J43","","","","","","nest 18"
"2020/11/20 9:43:53 AM CET","Group","2","Nest","Perched","R87, un","","","","","","nest 20"
"2020/11/20 9:44:27 AM CET","Interaction","","","","","R87","un","Touching","From","NA","nest 20"
"2020/11/20 9:50:45 AM CET","Interaction","","","","","R87","un","Touching","From","NA","nest 20"
"2020/11/20 9:51:16 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/22 7:10:31 PM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/23 11:40:12 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/23 10:01:48 PM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:02:57 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:11:12 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:11:45 AM CET","Group","2","Nest","Perched","H51, un","","","","","","nest 24"
"2020/11/24 9:12:26 AM CET","Interaction","","","","","H51","un","Touching","From","NA","nest 24"
"2020/11/24 9:13:27 AM CET","Group","2","Ground","Drinking","S57, un","","","","","","52"
"2020/11/24 9:14:11 AM CET","Group","3","Deciduous tree","Perched","L08, P69, un","","","","","","52"
"2020/11/24 9:14:47 AM CET","Interaction","","","","","L08","P69","Displacement","From","From","52"
"2020/11/24 9:17:36 AM CET","Interaction","","","","","L08","P69","Displacement","From","From","52"
"2020/11/24 9:20:01 AM CET","Group","4","Ground","Drinking","S57, P69, P76, S32","","","","","","38"
"2020/11/24 9:20:34 AM CET","Interaction","","","","","P69","S57","Touching","From","NA","38"
"2020/11/24 9:21:08 AM CET","Interaction","","","","","P76","S32","Touching","From","NA","38"
"2020/11/24 9:21:44 AM CET","Interaction","","","","","P69","P76","Displacement","From","From","38"
"2020/11/24 9:22:43 AM CET","Group","4","Ground","Perched","E93, K33, J02, G73","","","","","","38"
"2020/11/24 10:02:46 AM CET","Group","2","Deciduous tree","Perched","J71, E59","","","","","","53"
"2020/11/24 10:16:10 AM CET","Group","2","Deciduous tree","Perched","J71, E59","","","","","","53"
"2020/11/24 10:16:50 AM CET","Group","4","Deciduous tree","Perched","S10, S09, un, un","","","","","","37"
"2020/11/24 10:17:33 AM CET","Interaction","","","","","S09","S10","Preening","From","NA","37"
"2020/11/24 10:18:16 AM CET","Interaction","","","","","S09","un","Pecking","From","From","37"
"2020/11/24 10:21:40 AM CET","Group","3","Palm tree","Foraging","L15, X, X","","","","","","37"
"2020/11/24 10:26:39 AM CET","Group","2","Deciduous tree","Perched","T92, S06","","","","","","37"
"2020/11/25 8:29:24 AM CET","Group","2","Deciduous tree","Perched","T92, S06","","","","","","37"
"2020/11/25 8:36:27 AM CET","Group","3","Ground","Foraging","K41, H40, un","","","","","","54"
"2020/11/25 8:48:06 AM CET","Interaction","","","","","K41","un","Preening","From","NA","55"
"2020/11/25 8:50:38 AM CET","Group","4","Deciduous tree","Perched","K41, un, un, X","","","","","","55"
"2020/11/25 9:23:29 AM CET","Group","8","Ground","Drinking","S49, k75, k48, un, un, un, un, un","","","","","","8"
"2020/11/25 9:25:00 AM CET","Group","10","Ground","Drinking","P12, J56, M12, S04, H86, T21, un, un, un, un","","","","","","8"
"2020/11/25 9:25:32 AM CET","Interaction","","","","","K48","K75","10 cm group","From","NA","8"
"2020/11/25 9:26:02 AM CET","Interaction","","","","","K75","un","Pecking","From","From","8"
"2020/11/25 9:26:30 AM CET","Interaction","","","","","K48","un","Pecking","From","From","8"
"2020/11/25 9:26:57 AM CET","Interaction","","","","","P12","J56","10 cm group","From","NA","8"
"2020/11/25 9:52:02 AM CET","Group","7","Grass","Foraging","R20, S07, S16, X, X, un, un","","","","","","35"
"2020/11/26 8:44:19 AM CET","Group","7","Grass","Foraging","R20, S07, S16, X, X, un, un","","","","","","35"
"2020/11/26 8:44:53 AM CET","Group","4","Deciduous tree","Perched","K56, S40, S37, un","","","","","","56"
"2020/11/26 8:45:28 AM CET","Interaction","","","","","S40","S37","10 cm group","From","NA","56"
"2020/11/26 9:32:27 AM CET","Interaction","","","","","S40","S37","10 cm group","From","NA","56"
"2020/11/26 9:38:52 AM CET","Group","9","Pine tree","Perched","K67, X, un, un, un, un, un, un, un","","","","","","nest 36"
"2020/11/26 9:39:28 AM CET","Interaction","","","","","K67","un","Preening","From","NA","nest 36"
"2020/11/26 9:51:32 AM CET","Group","5","Pine tree","Perched","S49, T74, uk, uk, uk","","","","","","57"
"2020/11/26 10:05:59 AM CET","Group","2","Deciduous tree","Perched","J70, T69","","","","","","58"
"2020/11/26 10:23:24 AM CET","Group","9","Grass","Foraging","S24, S09, S30, T99, un, un, un, un, un","","","","","","59"
"2020/11/26 10:24:03 AM CET","Interaction","","","","","S09","S24","Displacement","From","From","59"
"2020/11/26 10:24:43 AM CET","Interaction","","","","","S09","S30","Displacement","From","From","59"
"2020/11/26 10:26:02 AM CET","Group","7","Grass","Foraging","K52, S10,S04, un, un, un, un","","","","","",""
"2020/11/27 9:14:19 AM CET","Group","2","Palm tree","Perched","uk, uk","","","","","","21"
"2020/11/27 9:17:12 AM CET","Group","2","Palm tree","Perched","un, un","","","","","","nest 16"
"2020/11/27 9:26:38 AM CET","Group","2","Palm tree","Perched","S07, R20","","","","","","nest 14"
"2020/11/27 9:47:33 AM CET","Group","4","Nest","Perched","un, un, JX, T49, ","","","","","","nest 21"
"2020/11/27 9:51:24 AM CET","Group","4","Nest","Perched","un, un, JX, T49, ","","","","","","nest 21"
"2020/11/27 9:52:08 AM CET","Group","5","Palm tree","Perched","un, un, un, un, un","","","","","","nest 2"
"2020/11/27 9:52:41 AM CET","Interaction","","","","","un","un","Preening","NA","NA","nest 2"
"2020/11/27 9:58:51 AM CET","Group","4","Palm tree","Perched","un, un, un, X","","","","","","nest 4"
